112,Julian Day,,Shot 1,,,,,,,,,,,,,,,,,,,,,,,,
1972,Year,,G1,G2,G3,,,,,,,,,,,,,,,,,,,,,,
2001,GMT hhmm,,,,,,,,,,,,,,,,,,,,order,shot-geophone,distance,time,,shot,time
,237.71727,,-2.10E-02,-1.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,239.603915,,-3.80E-02,-4.00E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,241.49056,,-6.80E-02,3.80E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,243.377205,,-6.80E-02,1.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,245.26385,,-6.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,247.150495,,-6.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,249.03714,,-6.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,250.923785,,-3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,252.81043,,-3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,254.697075,,-3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,256.58372,,-3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,258.470365,,-3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,260.35701,,-6.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,262.243655,,-6.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,264.1303,,-6.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,266.016945,,-6.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,267.90359,,-6.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,269.790235,,-6.80E-02,1.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,271.67688,,-6.80E-02,2.10E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,273.563525,,-3.80E-02,-4.00E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,275.45017,,-2.10E-02,-1.30E-02,-1.20E+00,,,,,,,,,,,,,,,,,,,,,,
,277.336815,,1.20E-02,-1.30E-02,-6.60E-01,,,,,,,,,,,,,,,,,,,,,,
,279.22346,,3.80E-02,-2.30E-02,-6.40E-02,,,,,,,,,,,,,,,,,,,,,,
,281.110105,,6.80E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,282.99675,,6.80E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,284.883395,,3.80E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,286.77004,,3.80E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,288.656685,,1.20E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,290.54333,,-3.60E-03,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,292.429975,,-2.10E-02,-1.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,294.31662,,-3.80E-02,-7.20E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,296.203265,,-6.80E-02,2.10E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,298.08991,,-6.80E-02,1.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,299.976555,,-6.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,301.8632,,-3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,303.749845,,-3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,305.63649,,-2.10E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,307.523135,,2.00E-03,7.00E-02,-1.20E+00,,,,,,,,,,,,,,,,,,,,,,
,309.40978,,3.80E-02,7.00E-02,-6.60E-01,,,,,,,,,,,,,,,,,,,,,,
,311.296425,,6.80E-02,7.00E-02,-1.10E-01,,,,,,,,,,,,,,,,,,,,,,
,313.18307,,6.80E-02,7.00E-02,4.10E-01,,,,,,,,,,,,,,,,,,,,,,
,315.069715,,6.80E-02,7.00E-02,1.30E+00,,,,,,,,,,,,,,,,,,,,,,
,316.95636,,6.80E-02,3.90E-02,7.30E-01,,,,,,,,,,,,,,,,,,,,,,
,318.843005,,6.80E-02,1.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,320.72965,,3.80E-02,-7.20E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,322.616295,,1.20E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,324.50294,,-2.10E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,326.389585,,-3.80E-02,-4.10E-02,-6.60E-01,,,,,,,,,,,,,,,,,,,,,,
,328.27623,,-3.80E-02,-7.40E-02,7.30E-01,,,,,,,,,,,,,,,,,,,,,,
,330.162875,,-3.80E-02,-7.40E-02,-6.60E-01,,,,,,,,,,,,,,,,,,,,,,
,332.04952,,-2.10E-02,-7.40E-02,-6.60E-01,,,,,,,,,,,,,,,,,,,,,,
,333.936165,,-2.00E-03,-7.40E-02,1.30E+00,,,,,,,,,,,,,,,,,,,,,,
,335.82281,,2.10E-02,-7.40E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,337.709455,,6.80E-02,-7.40E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,339.5961,,6.80E-02,-7.40E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,341.482745,,1.20E-01,-7.40E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,343.36939,,1.20E-01,-7.40E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,345.256035,,6.80E-02,-4.10E-02,2.40E+00,,,,,,,,,,,,,,,,,,,,,,
,347.14268,,6.80E-02,-4.10E-02,7.30E-01,,,,,,,,,,,,,,,,,,,,,,
,349.029325,,3.80E-02,-2.30E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,350.91597,,2.10E-02,-1.30E-02,2.40E+00,,,,,,,,,,,,,,,,,,,,,,
,352.802615,,1.10E-03,2.10E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,354.68926,,-1.20E-02,1.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,356.575905,,-1.20E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,358.46255,,-3.60E-03,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,360.349195,,1.20E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,362.23584,,3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,364.122485,,6.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,366.00913,,6.80E-02,3.90E-02,2.40E+00,,,,,,,,,,,,,,,,,,,,,,
,367.895775,,6.80E-02,3.90E-02,-1.20E+00,,,,,,,,,,,,,,,,,,,,,,
,369.78242,,6.80E-02,3.90E-02,-1.20E+00,,,,,,,,,,,,,,,,,,,,,,
,371.669065,,6.80E-02,3.90E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,373.55571,,6.80E-02,3.90E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,375.442355,,6.80E-02,3.90E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,377.329,,6.80E-02,3.90E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,379.215645,,6.80E-02,3.90E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,381.10229,,6.80E-02,7.00E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,382.988935,,6.80E-02,7.00E-02,-1.20E+00,,,,,,,,,,,,,,,,,,,,,,
,384.87558,,6.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,386.762225,,6.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,388.64887,,6.80E-02,7.00E-02,-1.20E+00,,,,,,,,,,,,,,,,,,,,,,
,390.535515,,3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,392.42216,,1.20E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,394.308805,,-1.20E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,396.19545,,-6.80E-02,3.80E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,398.082095,,-3.80E-02,-7.20E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,399.96874,,-3.80E-02,-2.30E-02,2.40E+00,,,,,,,,,,,,,,,,,,,,,,
,401.855385,,-2.10E-02,-4.10E-02,2.40E+00,,,,,,,,,,,,,,,,,,,,,,
,403.74203,,-2.10E-02,-4.10E-02,2.40E+00,,,,,,,,,,,,,,,,,,,,,,
,405.628675,,-3.60E-03,-4.10E-02,4.20E+00,,,,,,,,,,,,,,,,,,,,,,
,407.51532,,1.20E-02,-4.10E-02,2.40E+00,,,,,,,,,,,,,,,,,,,,,,
,409.401965,,2.10E-02,-4.10E-02,-1.20E+00,,,,,,,,,,,,,,,,,,,,,,
,411.28861,,1.20E-02,-4.10E-02,1.30E+00,,,,,,,,,,,,,,,,,,,,,,
,413.175255,,-4.70E-04,-2.30E-02,1.30E+00,,,,,,,,,,,,,,,,,,,,,,
,415.0619,,-2.10E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,416.948545,,-3.80E-02,-4.00E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,418.83519,,-3.80E-02,6.80E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,420.721835,,-6.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,422.60848,,-3.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,424.495125,,3.80E-02,1.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,426.38177,,-3.80E-02,-2.20E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,428.268415,,-2.10E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,430.15506,,-1.20E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,432.041705,,-6.50E-03,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,433.92835,,-2.00E-03,-4.10E-02,-3.70E-01,,,,,,,,,,,,,,,,,,,,,,
,435.814995,,1.10E-03,-4.10E-02,2.30E-01,,,,,,,,,,,,,,,,,,,,,,
,437.70164,,3.60E-03,-2.30E-02,7.30E-01,,,,,,,,,,,,,,,,,,,,,,
,439.588285,,3.60E-03,-2.30E-02,1.30E+00,,,,,,,,,,,,,,,,,,,,,,
,441.47493,,-2.00E-03,-1.30E-02,2.40E+00,,,,,,,,,,,,,,,,,,,,,,
,443.361575,,-1.20E-02,-7.20E-03,2.40E+00,,,,,,,,,,,,,,,,,,,,,,
,445.24822,,-2.10E-02,-4.00E-03,1.30E-01,,,,,,,,,,,,,,,,,,,,,,
,447.134865,,-3.80E-02,3.80E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,449.02151,,-3.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,450.908155,,-3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,452.7948,,-6.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,454.681445,,-6.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,456.56809,,-6.80E-02,1.30E-01,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,458.454735,,-1.20E-01,1.30E-01,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,460.34138,,-1.20E-01,1.30E-01,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,462.228025,,-1.20E-01,1.30E-01,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,464.11467,,-6.80E-02,1.30E-01,-3.70E-01,,,,,,,,,,,,,,,,,,,,,,
,466.001315,,-6.80E-02,7.00E-02,-2.10E-01,,,,,,,,,,,,,,,,,,,,,,
,467.88796,,-3.80E-02,7.00E-02,4.10E-01,,,,,,,,,,,,,,,,,,,,,,
